0, initTask, 128742, 3, 100
3840, addUser, 93336
3691, addUser, 78336
3189, addUser, 340695
1, 3691, completeIteration, 107296
0, initTask, 128742, 3, 100
3715, addUser, 93336
3406, addUser, 78336
3829, addUser, 340695
1, 3406, completeIteration, 107296
2, 3715, completeIteration, 107296
0, initTask, 128742, 3, 100
3593, addUser, 93336
3462, addUser, 78336
3013, addUser, 337039
1, 3013, completeIteration, 107296
2, 3593, completeIteration, 107296
0, initTask, 128742, 3, 100
3009, addUser, 93336
3487, addUser, 78336
3738, addUser, 340695
0, initTask, 128742, 3, 100
3382, addUser, 93336
3488, addUser, 78336
3062, addUser, 340695
0, initTask, 128742, 3, 100
3075, addUser, 93336
3255, addUser, 78336
3448, addUser, 337039
0, initTask, 128742, 3, 100
3694, addUser, 93336
3585, addUser, 78336
3297, addUser, 337039
0, initTask, 128742, 4, 100
3668, addUser, 93336
3335, addUser, 78336
3096, addUser, 78336
3324, addUser, 414595
0, initTask, 21484, 4, 100
3497, addUser, 22136
3392, addUser, 22136
3114, addUser, 22136
3272, addUser, 22136
0, initTask, 128742, 4, 100
3567, addUser, 93336
3576, addUser, 78336
3683, addUser, 78336
3230, addUser, 418251
1, 3230, completeIteration, 142948
0, initTask, 128742, 4, 100
3536, addUser, 93336
3025, addUser, 78336
3131, addUser, 78336
3419, addUser, 418251
0, initTask, 128742, 4, 100
3745, addUser, 93336
3224, addUser, 78336
3212, addUser, 78336
3227, addUser, 414595
1, 3212, completeIteration, 146604
0, initTask, 128742, 4, 100
3216, addUser, 93336
3954, addUser, 78336
3643, addUser, 78336
3423, addUser, 418251
1, 3423, completeIteration, 146604
0, initTask, 128742, 4, 100
3537, addUser, 93336
3225, addUser, 78336
3048, addUser, 78336
3450, addUser, 414595
1, 3048, completeIteration, 138204
0, initTask, 128742, 4, 100
3290, addUser, 93336
3671, addUser, 78336
3727, addUser, 78336
3628, addUser, 418251
1, 3727, completeIteration, 138748
0, initTask, 128742, 4, 100
3773, addUser, 93336
3276, addUser, 78336
3086, addUser, 78336
3093, addUser, 414595
1, 3093, completeIteration, 142948
2, 3773, completeIteration, 138748
0, initTask, 128742, 4, 100
3628, addUser, 93336
3581, addUser, 78336
3839, addUser, 78336
3132, addUser, 414595
1, 3132, completeIteration, 146604
0, initTask, 128742, 4, 100
3745, addUser, 93336
4000, addUser, 78336
3782, addUser, 78336
3401, addUser, 414595
1, 3401, completeIteration, 146604
2, 4000, completeIteration, 146604
0, initTask, 128742, 4, 100
3462, addUser, 93336
3298, addUser, 78336
3497, addUser, 78336
3690, addUser, 418251
1, 3298, completeIteration, 146604
0, initTask, 21484, 4, 100
3941, addUser, 22136
3561, addUser, 22136
3438, addUser, 22136
3617, addUser, 22136
0, initTask, 21484, 4, 100
3964, addUser, 22136
3499, addUser, 22136
3183, addUser, 22136
3255, addUser, 22136
0, initTask, 128742, 4, 100
3522, addUser, 93336
3584, addUser, 78336
3679, addUser, 78336
3255, addUser, 418251
1, 3679, completeIteration, 138204
2, 3522, completeIteration, 138204
3, 3679, completeIteration, 138748
4, 3584, completeIteration, 146604
