0, initTask, 128742, 4, 20
3056, addUser, 93336
3951, addUser, 78336
3437, addUser, 78336
3354, addUser, 414595
1, 3437, completeIteration, 142948
2, 3056, completeIteration, 142948
3, 3437, completeIteration, 142948
4, 3056, completeIteration, 142948
5, 3437, completeIteration, 142948
6, 3056, completeIteration, 142948
7, 3437, completeIteration, 142948
8, 3056, completeIteration, 142948
9, 3437, completeIteration, 146604
10, 3951, completeIteration, 146604
11, 3354, completeIteration, 142948
12, 3951, completeIteration, 142948
13, 3354, completeIteration, 142948
14, 3951, completeIteration, 142948
15, 3354, completeIteration, 142948
16, 3951, completeIteration, 142948
17, 3354, completeIteration, 142948
18, 3951, completeIteration, 142948
19, 3354, completeIteration, 142948
20, 3951, completeIteration, 37790



